0.002,0.002,,,,,,,,,,,,,,,
1540000,1540000,651000,651000,1540000,1540000,1540000,1540000,651000,1540000,1540000,1540000,1540000,651000,651000,1540000,1540000
1540000,1540000,651000,651000,1540000,1540000,1540000,1540000,651000,1540000,1540000,1540000,1540000,651000,651000,1540000,1540000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000
630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000
630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
651000,651000,4000000,4000000,510000,510000,510000,510000,1540000,510000,510000,510000,510000,4000000,4000000,651000,651000
1540000,1540000,651000,651000,1540000,1540000,1540000,1540000,651000,1540000,1540000,1540000,1540000,651000,651000,1540000,1540000
1540000,1540000,651000,651000,1540000,1540000,1540000,1540000,651000,1540000,1540000,1540000,1540000,651000,651000,1540000,1540000
